filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,mfcc21,label
McArdle Rd 281.m4a,0.38759765,0.08810789,1365.2422095960212,1771.3115055294643,2486.902476165254,0.05333438162076271,-340.45258,116.45556,14.636538,25.4074,17.018755,8.232633,-4.801199,2.9305751,-5.082539,6.2460413,-17.434248,6.2341104,-7.696851,-4.96017,0.05365366,2.293727,-10.796652,-4.4090657,-0.26243925,-11.225334,UnAuthorised
McArdle Rd 294.m4a,0.3796492,0.11526601,1792.2646662610503,2024.9187475648796,3392.235043174342,0.08052357456140351,-289.19363,95.41874,4.7943673,27.628004,17.621325,13.577344,-6.6897464,2.854115,-9.3845625,7.1801085,-20.86321,8.464931,-8.722604,-2.9758146,1.2090491,-1.1807375,-7.707803,-4.5465627,-0.5817245,-10.983594,UnAuthorised
McArdle Rd 296.m4a,0.41289228,0.102540486,1613.4010370475805,1849.3293426607056,2807.846867487981,0.07701322115384615,-309.45322,97.56878,10.731281,24.21129,19.409098,11.9596405,-6.2386193,3.1322994,-5.8327265,6.5386887,-14.153038,3.6034572,-7.7647634,-2.1760507,0.9327807,-1.5167114,-6.9315567,-5.239154,-1.7069851,-9.226336,UnAuthorised
McArdle Rd 276.m4a,0.4271416,0.099531345,2035.1830968285076,2121.0202717040916,3612.1517578125,0.0999453125,-297.16693,83.99717,11.9639635,20.54376,14.373364,3.8884346,-4.848911,4.531799,-7.5689907,4.959585,-11.222337,1.5524243,-8.485812,0.16183777,-1.787608,-0.1458519,-9.387383,-1.5906105,-4.012473,-6.5180326,UnAuthorised
McArdle Rd 273.m4a,0.41522038,0.101016864,2104.4494090937765,2149.4432020351583,3747.4609375,0.09417627728174603,-295.2297,76.808395,18.061266,28.49319,13.102561,6.0469394,-1.6225094,3.297241,-5.7817435,2.5033875,-10.571022,4.849361,-9.339779,-0.83421695,-1.975727,-1.2756408,-8.259794,1.1772529,-4.443179,-4.7360597,UnAuthorised
McArdle Rd 286.m4a,0.4277739,0.09752398,1646.3698716948668,1812.4935298732255,2868.0570162259614,0.07983022836538461,-312.54907,105.793884,7.7488346,24.783913,15.486604,10.703898,-6.285975,2.8206904,-2.866583,6.026991,-14.901769,4.226311,-6.1614747,-1.6368209,-1.0178758,-1.0825198,-8.863854,-5.0647564,0.76263,-10.767689,UnAuthorised
McArdle Rd 291.m4a,0.3888203,0.10775361,1676.1963862500454,1850.6674152310643,2931.354092684659,0.07842240767045454,-298.7146,101.72124,6.0026217,24.477821,18.226713,9.325736,-9.397813,2.9827445,-4.4265003,6.167927,-13.790412,5.329582,-8.464045,-1.5944767,-0.71888494,-0.63718086,-8.174377,-4.405362,-1.4795415,-7.761299,UnAuthorised
McArdle Rd 295.m4a,0.4175658,0.106617,1672.0720451720927,1872.4402790663949,2850.03719329834,0.08271408081054688,-299.80743,101.13666,9.085421,19.486458,14.958912,12.509953,-7.311103,6.1480703,-3.821804,6.3601637,-14.802659,4.4070487,-6.3176055,-0.122278035,-1.554166,-1.0120636,-7.0732865,-5.4303064,-1.4965396,-9.02947,UnAuthorised
McArdle Rd 272.m4a,0.42570612,0.10011322,1970.321577522622,2114.6341724481094,3579.542016201332,0.09058417648565574,-290.10773,85.65637,16.221571,31.521025,12.532691,6.7925186,-1.5300906,6.1563816,-6.2844176,3.199366,-10.894087,6.136469,-7.8772454,-2.29087,0.6091437,-2.0246155,-9.79466,-0.7570988,-5.3523746,-5.161944,UnAuthorised
McArdle Rd 298.m4a,0.41613087,0.10127275,1425.090816451232,1792.4074926389626,2493.094226925872,0.06291257873062016,-329.86508,108.45677,13.276489,21.95881,23.360632,12.072861,-5.659661,2.6123724,-4.5048375,8.512976,-15.284433,5.9875393,-6.660706,-2.394577,0.94279796,-3.3316026,-9.755673,-0.8316936,-2.453464,-6.7095532,UnAuthorised
McArdle Rd 277.m4a,0.43231472,0.104949765,1914.8744985171925,2047.8982476884455,3291.7252974076705,0.09142696496212122,-300.81055,81.32874,13.867219,28.059113,17.426842,7.9780183,-1.5991368,3.9058182,-4.3432245,4.0894537,-10.831833,3.0462587,-7.5758605,-0.82277495,-0.040024035,-0.9719809,-9.199942,-1.3892071,-2.5957475,-5.3614407,UnAuthorised
McArdle Rd 292.m4a,0.44212726,0.08436637,1747.6789307418433,1941.1771045864919,3306.5794966603053,0.07358510257633588,-324.06604,97.10934,7.21576,28.947186,17.041718,12.030407,-4.600697,2.1284568,-2.2835646,5.219153,-14.703309,7.775616,-4.0645123,-1.8944868,1.3512194,-0.23377685,-5.73362,-3.4301617,-0.05710631,-6.9848847,UnAuthorised
McArdle Rd 290.m4a,0.43780893,0.098276466,1498.5846768594527,1826.6183495965024,2700.2975824311025,0.06319205216535433,-307.87317,103.20397,9.542573,22.975132,16.773481,9.914702,-6.221807,5.2988696,-3.8189752,7.283243,-12.81267,4.835948,-5.8133593,-2.3405352,0.7202536,-0.123899385,-7.078041,-3.7099342,-1.1680158,-6.1534786,UnAuthorised
McArdle Rd 278.m4a,0.357578,0.11753833,2021.1126807876797,2038.8611967046545,3634.8046875,0.09663783482142857,-252.0967,89.5644,-1.1799188,32.688454,10.882377,10.904394,-15.979013,9.472465,-11.225799,9.635507,-15.627966,0.5669769,-6.1744485,-5.3620954,-1.3471649,-2.0303583,-8.777701,-2.5386846,-4.28895,-4.587784,UnAuthorised
McArdle Rd 283.m4a,0.37540835,0.104577325,1396.696889269224,1729.5241511342738,2560.316414668642,0.06002912850215517,-323.34982,106.46476,15.339289,34.811813,15.991381,10.101934,-4.4433346,2.647844,-5.7927594,4.184699,-14.493778,2.6532698,-7.079498,-4.4476604,-1.3007598,0.73345995,-8.5244665,-4.7220306,-0.06984232,-9.393561,UnAuthorised
McArdle Rd 300.m4a,0.4040086,0.100373186,1637.1322902912832,1871.7827421446004,2879.3985666322315,0.0723463326446281,-316.00485,104.79064,6.291407,22.903387,20.096273,9.238062,-4.5359697,2.911024,-5.87263,10.525,-17.61087,5.5105777,-9.244881,-3.3668618,1.9184119,-4.155469,-10.50197,-1.5884331,-2.9484644,-7.345791,UnAuthorised
McArdle Rd 285.m4a,0.43558493,0.10949511,1380.249868339814,1734.6908654006754,2365.49072265625,0.05798921130952381,-317.13278,109.80289,9.961874,27.823227,14.236644,10.055806,-2.8272855,2.5511253,-3.9912617,4.8227487,-14.971641,6.0239162,-7.564895,-1.7927846,-0.40229046,-0.3374398,-7.251479,-5.815218,1.3482273,-11.178432,UnAuthorised
McArdle Rd 269.m4a,0.35922918,0.10194566,2158.3705027021797,2161.9587759075534,3764.2586000504034,0.10686533938172044,-276.12616,96.481705,4.860528,10.810068,27.970003,0.6358074,-13.991486,11.579579,-14.542193,9.868388,-18.39971,4.0211987,-3.9040499,-3.5450754,-2.1699684,-0.52370876,-14.117473,-1.4010354,-2.1620948,-10.629937,UnAuthorised
McArdle Rd 279.m4a,0.39083213,0.1011284,1810.735009625369,2033.0723674725834,3271.9234035326085,0.08496518342391304,-302.5733,94.10467,12.248384,27.158146,17.591888,10.062058,-11.881851,7.179764,-9.756021,6.3912697,-15.651548,3.0324833,-7.445027,-3.5841248,-2.1917815,1.0055485,-9.697773,-2.540567,-3.0575583,-7.8674064,UnAuthorised
McArdle Rd 284.m4a,0.4120298,0.10933811,1385.1799531116878,1748.0949683049714,2386.444609043962,0.058316505561440676,-316.25067,112.71617,8.3345375,25.815742,15.817049,9.553054,-7.6671586,3.8789546,-7.121409,5.043916,-16.645758,5.8900933,-7.2932596,-3.992509,0.27361527,-0.7027806,-9.060005,-5.724207,-0.8041202,-11.044673,UnAuthorised
McArdle Rd 262.m4a,0.46378472,0.0903851,1966.666506379957,2123.652586768252,3393.0054672121064,0.09077417568897637,-305.9979,81.30621,9.875494,18.117702,24.5948,2.6272557,-9.557737,9.1570215,-6.823328,7.2070794,-13.832397,2.2500615,-5.169622,-0.6810488,-1.269523,-0.6154752,-9.768262,-0.6190698,-3.2912955,-5.079494,UnAuthorised
McArdle Rd 287.m4a,0.41001058,0.10045665,1529.539545937873,1765.8056935058432,2739.3058401639346,0.06738681480532786,-313.64713,106.234474,5.4592447,24.898544,16.153118,8.574897,-5.2374544,2.6146533,-4.2207065,4.0150976,-11.893381,4.103043,-6.932955,-3.8934786,-1.0294183,-0.37686187,-8.131054,-5.34291,0.5305605,-10.3413925,UnAuthorised
McArdle Rd 256.m4a,0.46265623,0.085148126,2055.523174551539,2052.5009847812275,3572.156524658203,0.105133056640625,-313.35907,99.12931,-4.4809136,11.737096,28.633997,-6.1309924,-9.939754,8.297555,-10.031757,4.429684,-7.664988,-1.0341095,-2.5408,-0.6854922,-5.522257,1.213602,-16.691847,2.8339615,-4.0287213,-6.65605,UnAuthorised
McArdle Rd 293.m4a,0.44066116,0.08706965,1643.670783481231,1927.8252181535152,3006.8030069040697,0.07396893168604651,-335.29288,95.21842,16.770168,26.12529,17.50821,14.241417,-6.2673435,5.476815,-3.6350856,4.357176,-14.856059,4.7519207,-5.067131,-3.0469878,-0.10060108,0.0024795532,-7.9789176,-2.5973845,-1.7739019,-8.01338,UnAuthorised
McArdle Rd 288.m4a,0.37986705,0.12475702,1696.7725563433535,1896.875857303589,2919.90234375,0.08159623579545454,-281.98322,101.60171,-0.074829586,24.359266,15.598457,13.8003025,-12.095655,4.1667476,-7.5770593,5.339702,-18.404041,7.7288356,-9.980066,-2.0240583,-0.6548852,-1.5282543,-7.1532855,-5.4952497,1.2823036,-12.73295,UnAuthorised
McArdle Rd 250.m4a,0.41743967,0.108311065,2073.069592749128,2123.521979480334,3393.0323674128604,0.1023090069110577,-288.3027,87.55355,7.217164,11.642424,29.8222,-1.8636507,-15.542105,12.160411,-13.305327,4.824744,-12.69547,2.639625,-5.807128,-0.56308603,-5.991003,1.4042903,-13.775097,0.64206445,-6.261918,-5.64338,UnAuthorised
McArdle Rd 299.m4a,0.4134507,0.099887215,1418.8307977736351,1706.439300203402,2437.60986328125,0.06497628348214286,-322.29117,110.28149,7.6590757,23.487707,18.019176,11.368405,-3.4888515,1.4374572,-1.3289642,7.06052,-16.187963,5.2660017,-8.035362,-0.7936716,1.772592,-5.042649,-9.505467,-1.7025383,-2.3730898,-7.4218097,UnAuthorised
McArdle Rd 255.m4a,0.439995,0.07150531,1618.8087110382796,1969.8248460860414,3069.8786378816794,0.06935084685114504,-346.45837,109.90944,11.508059,18.648046,17.326727,10.224605,-9.361064,7.8711963,-3.5789115,4.8690314,-10.395432,5.377955,-2.419398,-3.864576,-0.20049064,0.0059370087,-12.728036,2.5592623,-4.982907,-3.9514668,UnAuthorised
McArdle Rd 249.m4a,0.4054962,0.08510023,1488.7966963057847,1641.3609327528263,2645.1582475142045,0.07702858664772727,-328.5379,117.15374,1.7537733,35.555004,13.833298,11.5075655,-12.830245,7.637617,1.1181637,-2.2406209,0.0656533,-2.5774727,-1.4302436,-4.572414,-0.22342193,-0.14159603,-7.5849767,-3.2006092,-3.4228663,-2.0332375,UnAuthorised
McArdle Rd 252.m4a,0.42864963,0.08931954,1850.8658405309193,2087.144413627944,3158.9208984375,0.08110758463541666,-325.7623,99.94469,11.571011,6.981143,26.248474,6.3761086,-13.790629,12.910082,-9.134873,4.7629867,-11.529484,0.82110506,-2.9058406,-3.0615318,-2.431995,1.9402486,-15.084245,0.1929915,-4.596082,-4.400472,UnAuthorised
McArdle Rd 257.m4a,0.43348286,0.10506648,1933.8873507499975,2009.151830914281,3189.8300170898438,0.09653727213541667,-297.3254,97.855644,-3.4565194,13.176492,31.82104,-8.015098,-6.3058357,4.0200057,-9.470054,7.149138,-14.976704,2.3807533,-4.2527013,-4.0288963,-3.5460577,-0.87934,-16.55465,3.0597737,-4.9976363,-8.984093,UnAuthorised
McArdle Rd 261.m4a,0.41907924,0.104736656,2261.6845501939238,2181.5821738221443,3937.6851399739585,0.11068160445601852,-276.98785,79.863075,5.3706126,17.718628,24.32141,3.5088308,-17.567509,7.1829734,-10.830647,8.345697,-17.179935,5.076147,-6.8671074,1.445445,-2.6974974,-0.51417357,-11.970095,0.97026247,-5.10715,-5.9623923,UnAuthorised
McArdle Rd 267.m4a,0.35377347,0.11218029,2141.0511851737824,2131.065170302763,3599.6337890625,0.1082000732421875,-264.7364,88.22184,1.9297128,15.720356,25.384192,-1.0612131,-17.883085,9.844033,-9.1765375,5.7294927,-14.035145,4.789924,-9.010814,0.661564,-4.398432,0.89624053,-13.01331,-1.9845572,-2.554807,-9.510446,UnAuthorised
